timestamp ,open    ,high    ,low     ,close   ,adjusted_close,volume  ,dividend_amount,split_coefficient
2018-04-16,157.9900,159.1400,157.6700,157.8900,157.8900      ,4185601 ,0.0000         ,1.0000
2018-04-13,158.6700,159.2200,155.9100,156.7100,156.7100      ,4057058 ,0.0000         ,1.0000
2018-04-12,156.7500,158.9800,156.6700,158.0700,158.0700      ,5639444 ,0.0000         ,1.0000
2018-04-11,154.3700,155.7800,153.8800,155.3600,155.3600      ,3306539 ,0.0000         ,1.0000
2018-04-10,155.0300,156.6050,154.7500,155.3900,155.3900      ,3955952 ,0.0000         ,1.0000
2018-04-09,151.8000,154.6600,151.7433,152.6900,152.6900      ,4413178 ,0.0000         ,1.0000
2018-04-06,153.4600,153.9500,149.5400,150.5700,150.5700      ,3672919 ,0.0000         ,1.0000
2018-04-05,154.4400,154.9200,153.3400,154.0300,154.0300      ,3185388 ,0.0000         ,1.0000
2018-04-04,147.8900,154.4700,147.4500,154.1200,154.1200      ,4805261 ,0.0000         ,1.0000
2018-04-03,150.8000,151.0000,148.3000,149.8500,149.8500      ,4135696 ,0.0000         ,1.0000
2018-04-02,153.3400,153.3800,148.4300,150.0700,150.0700      ,5150435 ,0.0000         ,1.0000
2018-03-29,153.0700,153.8900,151.0800,153.4300,153.4300      ,3419959 ,0.0000         ,1.0000
2018-03-28,152.0700,153.8600,151.8900,152.5200,152.5200      ,3664826 ,0.0000         ,1.0000
2018-03-27,153.9500,154.8697,151.1600,151.9100,151.9100      ,3810994 ,0.0000         ,1.0000
2018-03-26,151.2100,153.6570,150.2800,153.3700,153.3700      ,4038586 ,0.0000         ,1.0000
2018-03-23,152.2500,152.5800,148.5410,148.8900,148.8900      ,4389015 ,0.0000         ,1.0000
2018-03-22,155.0000,155.2499,152.0000,152.0900,152.0900      ,4617371 ,0.0000         ,1.0000
2018-03-21,156.5700,158.2000,155.9200,156.6900,156.6900      ,3240695 ,0.0000         ,1.0000
2018-03-20,157.5200,157.9300,155.2900,156.2000,156.2000      ,4296935 ,0.0000         ,1.0000
2018-03-19,159.7100,159.8899,156.4500,157.3500,157.3500      ,5415258 ,0.0000         ,1.0000
2018-03-16,160.0600,161.9800,159.6400,160.2600,160.2600      ,8447294 ,0.0000         ,1.0000
2018-03-15,158.7100,161.2500,158.5200,159.6100,159.6100      ,3860479 ,0.0000         ,1.0000
2018-03-14,160.1700,160.6800,157.7400,158.1200,158.1200      ,3614293 ,0.0000         ,1.0000
2018-03-13,160.0900,162.1122,158.8100,159.3200,159.3200      ,4097662 ,0.0000         ,1.0000
2018-03-12,159.6400,161.0200,158.8700,160.2600,160.2600      ,5056489 ,0.0000         ,1.0000
2018-03-09,157.4700,159.5825,157.3000,159.3100,159.3100      ,4783247 ,0.0000         ,1.0000
2018-03-08,159.0000,159.5700,155.0700,156.2100,156.2100      ,6095521 ,0.0000         ,1.0000
2018-03-07,155.0000,158.8300,154.7300,158.3200,158.3200      ,4607677 ,0.0000         ,1.0000
2018-03-06,157.2800,157.8900,155.1568,155.7200,155.7200      ,3685736 ,0.0000         ,1.0000
2018-03-05,154.1200,157.4900,153.7500,156.9500,156.9500      ,3670630 ,0.0000         ,1.0000
2018-03-02,152.7900,154.7600,151.8800,154.4900,154.4900      ,3261141 ,0.0000         ,1.0000
2018-03-01,155.5300,156.9742,152.7900,153.8100,153.8100      ,4039339 ,0.0000         ,1.0000
2018-02-28,157.5000,158.1399,155.8000,155.8300,155.8300      ,3761597 ,0.0000         ,1.0000
2018-02-27,158.4600,159.7800,156.5300,156.5500,156.5500      ,4192962 ,0.0000         ,1.0000
2018-02-26,155.8100,158.8800,155.5100,158.5800,158.5800      ,3576723 ,0.0000         ,1.0000
2018-02-23,154.3000,155.8550,154.0700,155.5200,155.5200      ,3208908 ,0.0000         ,1.0000
2018-02-22,154.5000,155.0400,152.7900,153.1800,153.1800      ,4017699 ,0.0000         ,1.0000
2018-02-21,155.4300,156.7900,153.9000,153.9600,153.9600      ,3492694 ,0.0000         ,1.0000
2018-02-20,155.7900,155.9600,153.8700,155.1600,155.1600      ,4267801 ,0.0000         ,1.0000
2018-02-16,155.7100,157.7905,155.6900,156.1800,156.1800      ,4239560 ,0.0000         ,1.0000
2018-02-15,155.5000,156.8600,153.7000,156.0100,156.0100      ,5525079 ,0.0000         ,1.0000
2018-02-14,150.1900,155.0000,150.0000,154.7600,154.7600      ,5422862 ,0.0000         ,1.0000
2018-02-13,150.9000,151.1790,149.6400,150.7500,150.7500      ,4854790 ,0.0000         ,1.0000
2018-02-12,150.9000,152.4000,150.3000,151.4000,151.4000      ,5659623 ,0.0000         ,1.0000
2018-02-09,148.6000,150.5400,144.3955,149.5100,149.5100      ,7763603 ,0.0000         ,1.0000
2018-02-08,152.4800,153.1600,147.5000,147.5900,147.5900      ,6599136 ,1.5000         ,1.0000
2018-02-07,154.1700,155.3400,153.2800,153.8500,152.3021      ,6069258 ,0.0000         ,1.0000
2018-02-06,150.2900,155.4900,149.1100,155.3400,153.7771      ,9823824 ,0.0000         ,1.0000
2018-02-05,157.8900,158.5000,150.0000,152.5300,150.9954      ,8600416 ,0.0000         ,1.0000
2018-02-02,161.7000,162.0000,158.8663,159.0300,157.4300      ,5174779 ,0.0000         ,1.0000
2018-02-01,163.1900,164.1300,161.9000,162.4000,160.7661      ,4422505 ,0.0000         ,1.0000
2018-01-31,163.7500,164.9900,162.7610,163.7000,162.0530      ,4025105 ,0.0000         ,1.0000
2018-01-30,166.2100,166.7700,163.1550,163.6200,161.9738      ,4796200 ,0.0000         ,1.0000
2018-01-29,167.4500,168.3900,166.0100,166.8000,165.1218      ,3423903 ,0.0000         ,1.0000
2018-01-26,166.1200,167.4142,165.7900,167.3400,165.6564      ,3664496 ,0.0000         ,1.0000
2018-01-25,165.9100,166.7800,165.1900,165.4700,163.8052      ,3240177 ,0.0000         ,1.0000
2018-01-24,166.7500,168.7200,164.8200,165.3700,163.7062      ,5507664 ,0.0000         ,1.0000
2018-01-23,162.8200,166.2600,162.5100,166.2500,164.5774      ,7417268 ,0.0000         ,1.0000
2018-01-22,161.5100,163.9800,161.1100,162.6000,160.9641      ,8340507 ,0.0000         ,1.0000
2018-01-19,164.4600,165.4000,161.3000,162.3700,160.7364      ,21079530,0.0000         ,1.0000
2018-01-18,170.0000,171.1300,168.1500,169.1200,167.4185      ,10948033,0.0000         ,1.0000
2018-01-17,168.0100,169.1253,167.2600,168.6500,166.9532      ,11630539,0.0000         ,1.0000
2018-01-16,165.1000,165.2900,163.3500,163.8500,162.2015      ,7588202 ,0.0000         ,1.0000
2018-01-12,164.0200,164.7400,163.0300,163.1400,161.4986      ,5007254 ,0.0000         ,1.0000
2018-01-11,164.8000,164.9400,163.3000,164.2000,162.5480      ,3783614 ,0.0000         ,1.0000
2018-01-10,162.9100,164.3300,162.5000,164.1800,162.5282      ,4150836 ,0.0000         ,1.0000
2018-01-09,163.9000,164.5300,163.0600,163.8300,162.1817      ,4333418 ,0.0000         ,1.0000
2018-01-08,162.6600,163.9050,161.7010,163.4700,161.8253      ,5101023 ,0.0000         ,1.0000
