timestamp ,open   ,high   ,low    ,close  ,adjusted_close,volume  ,dividend_amount,split_coefficient
2018-04-16,46.0300,46.3900,45.5950,46.0500,46.0500       ,11639028,0.1900         ,1.0000
2018-04-13,46.3100,46.5300,45.6100,46.0800,45.8907       ,12493597,0.0000         ,1.0000
2018-04-12,45.6900,46.1700,45.6450,45.8800,45.6915       ,13970339,0.0000         ,1.0000
2018-04-11,45.4000,45.9900,45.3600,45.6100,45.4226       ,14911438,0.0000         ,1.0000
2018-04-10,45.5500,46.0700,45.4600,45.8200,45.6317       ,17177233,0.0000         ,1.0000
2018-04-09,45.1100,45.6500,44.8800,44.9000,44.7155       ,15199976,0.0000         ,1.0000
2018-04-06,45.5100,45.7500,44.6000,44.8300,44.6458       ,13893643,0.0000         ,1.0000
2018-04-05,45.7300,46.1800,45.5500,45.9600,45.7712       ,12312979,0.0000         ,1.0000
2018-04-04,44.0700,45.6200,44.0400,45.5100,45.3230       ,18505940,0.0000         ,1.0000
2018-04-03,45.3300,45.3300,44.2900,44.8900,44.7055       ,15734569,0.0000         ,1.0000
2018-04-02,45.6500,45.8500,44.4200,45.0100,44.8251       ,15343314,0.0000         ,1.0000
2018-03-29,45.3100,46.2900,45.0100,45.7500,45.5620       ,14256447,0.0000         ,1.0000
2018-03-28,45.2800,45.3600,44.5100,44.9800,44.7952       ,22156930,0.0000         ,1.0000
2018-03-27,46.6300,46.8200,45.0000,45.3800,45.1935       ,18566310,0.0000         ,1.0000
2018-03-26,45.5500,46.6400,45.3850,46.4800,46.2890       ,19751401,0.0000         ,1.0000
2018-03-23,45.9800,46.3400,44.7600,44.7900,44.6060       ,21296732,0.0000         ,1.0000
2018-03-22,46.7200,47.0215,45.7300,45.8900,45.7014       ,25449926,0.0000         ,1.0000
2018-03-21,47.2900,48.0600,47.0100,47.0200,46.8268       ,34523536,0.0000         ,1.0000
2018-03-20,46.8000,47.7500,46.4300,47.0500,46.8567       ,68331479,0.0000         ,1.0000
2018-03-19,52.4300,52.5800,51.5100,51.9500,51.7365       ,23478850,0.0000         ,1.0000
2018-03-16,52.4000,52.6900,52.2500,52.2700,52.0552       ,17883567,0.0000         ,1.0000
2018-03-15,52.2200,52.6650,52.1100,52.3700,52.1548       ,11679999,0.0000         ,1.0000
2018-03-14,52.8800,53.1500,52.1800,52.3200,52.1050       ,10877757,0.0000         ,1.0000
2018-03-13,53.2400,53.4800,52.3400,52.5800,52.3639       ,12640710,0.0000         ,1.0000
2018-03-12,52.9800,53.4400,52.6650,52.9000,52.6826       ,14076625,0.0000         ,1.0000
