timestamp ,open   ,high   ,low    ,close  ,adjusted_close,volume  ,dividend_amount,split_coefficient
2018-04-16,28.3600,29.1250,27.9750,29.0600,29.0600       ,1974123 ,0.0000         ,1.0000
2018-04-13,28.4200,28.7000,28.0700,28.1700,28.1700       ,1205884 ,0.0000         ,1.0000
2018-04-12,28.4100,28.5200,28.2250,28.2300,28.2300       ,1658106 ,0.0000         ,1.0000
2018-04-11,28.1000,28.3800,28.0500,28.2500,28.2500       ,814999  ,0.0000         ,1.0000
2018-04-10,27.9000,28.4800,27.8700,28.3200,28.3200       ,1479135 ,0.0000         ,1.0000
2018-04-09,28.1900,28.2900,27.4900,27.5300,27.5300       ,2040492 ,0.0000         ,1.0000
2018-04-06,28.0900,28.3400,27.7950,27.9800,27.9800       ,2090390 ,0.0000         ,1.0000
2018-04-05,28.4500,28.5600,28.0700,28.2800,28.2800       ,988762  ,0.0000         ,1.0000
2018-04-04,27.6300,28.3500,27.5000,28.3100,28.3100       ,3230778 ,0.0000         ,1.0000
2018-04-03,28.2600,28.2600,27.7601,27.9200,27.9200       ,1796981 ,0.0000         ,1.0000
2018-04-02,28.6800,28.7950,27.8300,28.0600,28.0600       ,1780348 ,0.0000         ,1.0000
2018-03-29,29.0900,29.0900,28.6300,28.7800,28.7800       ,1962674 ,0.0000         ,1.0000
2018-03-28,28.8300,29.0100,28.1299,28.8500,28.8500       ,2527681 ,0.2500         ,1.0000
2018-03-27,29.4600,29.4950,28.8600,29.0000,28.7509       ,2437482 ,0.0000         ,1.0000
2018-03-26,29.2900,29.5900,28.7600,29.4000,29.1474       ,2409614 ,0.0000         ,1.0000
2018-03-23,29.8200,29.8700,28.7900,28.8000,28.5526       ,2407477 ,0.0000         ,1.0000
2018-03-22,30.5400,30.5700,29.7000,29.8000,29.5440       ,2385639 ,0.0000         ,1.0000
2018-03-21,30.7100,31.1900,30.4500,30.8600,30.5949       ,2322779 ,0.0000         ,1.0000
2018-03-20,30.3100,31.3400,30.2600,30.8200,30.5552       ,3155410 ,0.0000         ,1.0000
2018-03-19,30.9900,31.0700,30.1300,30.1900,29.9306       ,3105546 ,0.0000         ,1.0000
2018-03-16,31.1300,31.4600,31.0100,31.1000,30.8328       ,2272064 ,0.0000         ,1.0000
2018-03-15,30.7500,31.0700,30.7500,31.0500,30.7832       ,2608168 ,0.0000         ,1.0000
2018-03-14,31.5400,31.6100,30.5000,30.7500,30.4858       ,2629243 ,0.0000         ,1.0000
2018-03-13,29.8400,31.5800,29.7900,31.3400,31.0708       ,4947453 ,0.0000         ,1.0000
2018-03-12,29.9800,30.0937,29.6300,29.6900,29.4349       ,1485847 ,0.0000         ,1.0000
2018-03-09,29.9800,29.9800,29.7050,29.9200,29.6630       ,1708378 ,0.0000         ,1.0000
2018-03-08,29.9000,29.9100,29.6800,29.8300,29.5737       ,948869  ,0.0000         ,1.0000
2018-03-07,29.7800,29.9400,29.7200,29.8300,29.5737       ,1840274 ,0.0000         ,1.0000
2018-03-06,30.3000,30.3800,30.0000,30.0400,29.7819       ,1965274 ,0.0000         ,1.0000
2018-03-05,29.9300,30.4500,29.8300,30.2900,30.0298       ,2690345 ,0.0000         ,1.0000
2018-03-02,30.3400,30.3600,29.8000,30.0600,29.8018       ,2394459 ,0.0000         ,1.0000
2018-03-01,30.3600,30.7500,29.9700,30.5500,30.2875       ,2931643 ,0.0000         ,1.0000
2018-02-28,30.3400,30.8600,29.9600,30.3200,30.0595       ,2358693 ,0.0000         ,1.0000
2018-02-27,31.0400,31.0600,30.2500,30.2500,29.9901       ,2055459 ,0.0000         ,1.0000
2018-02-26,30.9200,31.1700,30.7600,31.1200,30.8526       ,1210532 ,0.0000         ,1.0000
2018-02-23,30.5300,30.8800,30.3300,30.8700,30.6048       ,1333155 ,0.0000         ,1.0000
2018-02-22,30.5000,30.5500,30.0400,30.2300,29.9703       ,1791525 ,0.0000         ,1.0000
2018-02-21,31.1500,31.4109,30.3500,30.3800,30.1190       ,2383344 ,0.0000         ,1.0000
2018-02-20,30.3600,31.1700,30.1100,31.0300,30.7634       ,3282694 ,0.0000         ,1.0000
2018-02-16,30.4300,30.8000,30.2500,30.5500,30.2875       ,2125268 ,0.0000         ,1.0000
2018-02-15,30.0000,30.5700,29.7400,30.5000,30.2380       ,2287632 ,0.0000         ,1.0000
2018-02-14,29.0000,29.8750,28.8800,29.7900,29.5341       ,2660907 ,0.0000         ,1.0000
2018-02-13,29.7400,29.8200,29.1000,29.1700,28.9194       ,3198700 ,0.0000         ,1.0000
2018-02-12,29.8400,30.3050,29.5400,29.9500,29.6927       ,3220756 ,0.0000         ,1.0000
2018-02-09,30.0800,30.1599,28.4800,29.6100,29.3556       ,3774740 ,0.0000         ,1.0000
2018-02-08,31.2500,31.3730,29.8000,29.8000,29.5440       ,3553242 ,0.0000         ,1.0000
2018-02-07,30.7300,31.4050,30.7300,31.1800,30.9121       ,2889339 ,0.0000         ,1.0000
2018-02-06,30.9400,31.5300,30.2200,30.8500,30.5850       ,4334316 ,0.0000         ,1.0000
2018-02-05,31.8000,32.6800,31.3800,31.3800,31.1104       ,4086622 ,0.0000         ,1.0000
2018-02-02,32.5100,32.5100,31.5350,31.6300,31.3583       ,3461656 ,0.0000         ,1.0000
2018-02-01,34.1000,34.3300,32.5600,32.7500,32.4686       ,8152565 ,0.0000         ,1.0000
2018-01-31,33.8800,37.4200,33.6000,34.1300,33.8368       ,17945241,0.0000         ,1.0000
2018-01-30,32.6200,32.8400,32.2600,32.6800,32.3992       ,2147635 ,0.0000         ,1.0000
2018-01-29,32.7900,32.9700,32.6900,32.8400,32.5579       ,1173611 ,0.0000         ,1.0000
2018-01-26,32.7600,32.8800,32.4300,32.8300,32.5480       ,2066072 ,0.0000         ,1.0000
2018-01-25,32.4800,32.5400,32.1200,32.3800,32.1018       ,1479057 ,0.0000         ,1.0000
2018-01-24,32.6600,32.6700,32.2500,32.3600,32.0820       ,1657992 ,0.0000         ,1.0000
2018-01-23,32.5700,32.7400,32.2000,32.5800,32.3001       ,1524670 ,0.0000         ,1.0000
2018-01-22,32.6400,33.0800,32.0750,32.6400,32.3596       ,3519897 ,0.0000         ,1.0000
2018-01-19,31.4700,31.8900,31.3050,31.8000,31.5268       ,1578768 ,0.0000         ,1.0000
2018-01-18,31.8200,31.8300,31.3100,31.3700,31.1005       ,1494026 ,0.0000         ,1.0000
2018-01-17,32.4300,32.4300,31.8600,31.9200,31.6458       ,1722623 ,0.0000         ,1.0000
2018-01-16,32.8500,32.9700,32.2400,32.3500,32.0721       ,1730877 ,0.0000         ,1.0000
2018-01-12,31.7200,32.8400,31.6100,32.7700,32.4885       ,3315119 ,0.0000         ,1.0000
2018-01-11,31.9600,32.5100,31.2400,31.8600,31.5863       ,4008465 ,0.0000         ,1.0000
2018-01-10,30.1700,30.3900,30.0300,30.3500,30.0893       ,986301  ,0.0000         ,1.0000
2018-01-09,30.2800,30.5500,30.1500,30.1900,29.9306       ,1523919 ,0.0000         ,1.0000
2018-01-08,29.8900,30.2800,29.8700,30.2600,30.0000       ,1233178 ,0.0000         ,1.0000
2018-01-05,29.8000,29.9400,29.5500,29.9100,29.6530       ,1527141 ,0.0000         ,1.0000
2018-01-04,29.4700,29.7200,29.3350,29.6900,29.4349       ,2543214 ,0.0000         ,1.0000
2018-01-03,29.4100,29.4800,29.0200,29.3300,29.0780       ,1875273 ,0.0000         ,1.0000
2018-01-02,29.3800,29.4800,29.1100,29.3700,29.1177       ,1744993 ,0.0000         ,1.0000
2017-12-29,29.4000,29.4700,29.1200,29.1500,28.8996       ,1455068 ,0.0000         ,1.0000
2017-12-28,29.2500,29.4750,29.1100,29.4500,29.1970       ,1032339 ,0.2500         ,1.0000
2017-12-27,29.4200,29.6900,29.3500,29.4800,28.9807       ,902202  ,0.0000         ,1.0000
2017-12-26,29.5100,29.6902,29.3200,29.4100,28.9119       ,1410384 ,0.0000         ,1.0000
2017-12-22,29.7050,29.7700,29.5000,29.5800,29.0790       ,970875  ,0.0000         ,1.0000
2017-12-21,29.9000,30.0200,29.6400,29.7100,29.2068       ,1779624 ,0.0000         ,1.0000
2017-12-20,30.1600,30.2800,29.9500,29.9900,29.4821       ,1606935 ,0.0000         ,1.0000
2017-12-19,30.2200,30.3100,29.9500,30.0100,29.5017       ,1769900 ,0.0000         ,1.0000
2017-12-18,29.8700,30.3200,29.8700,30.3000,29.7868       ,2453747 ,0.0000         ,1.0000
2017-12-15,29.4200,29.8600,29.3700,29.6500,29.1478       ,4270963 ,0.0000         ,1.0000
